+---------------------+------------+-------+---------------+------+-----------------+--------+------------+-------------------+--------+------------------+-----------------+
| Trial name          | status     | loc   |   conv_layers |   l1 |   linear_layers |     lr |   momentum |   output_features |   iter |   total time (s) |   test_accuracy |
| DEFAULT_5dea9_00041 | TERMINATED |       |             3 |  100 |               2 | 0.01   |        0.5 |                20 |      1 |          75.6764 |         83.9757 |
| DEFAULT_5dea9_00042 | TERMINATED |       |             2 |  200 |               2 | 0.01   |        0.5 |                20 |      1 |          72.6814 |         84.4828 |
| DEFAULT_5dea9_00043 | TERMINATED |       |             3 |  200 |               2 | 0.01   |        0.5 |                20 |      1 |          76.7035 |         76.7748 |
| DEFAULT_5dea9_00044 | TERMINATED |       |             2 |  100 |               3 | 0.01   |        0.5 |                20 |      1 |          76.9142 |         52.6369 |
| DEFAULT_5dea9_00045 | TERMINATED |       |             3 |  100 |               3 | 0.01   |        0.5 |                20 |      1 |          78.0424 |         58.1136 |
| DEFAULT_5dea9_00046 | TERMINATED |       |             2 |  200 |               3 | 0.01   |        0.5 |                20 |      1 |          77.5446 |         58.7221 |
| DEFAULT_5dea9_00047 | TERMINATED |       |             3 |  200 |               3 | 0.01   |        0.5 |                20 |      1 |          77.0871 |         53.2454 |
| DEFAULT_5dea9_00048 | TERMINATED |       |             2 |  100 |               2 | 0.0001 |        0.9 |                20 |      1 |          73.515  |         58.8235 |
| DEFAULT_5dea9_00049 | TERMINATED |       |             3 |  100 |               2 | 0.0001 |        0.9 |                20 |      1 |          76.3392 |         56.8966 |
| DEFAULT_5dea9_00050 | TERMINATED |       |             2 |  200 |               2 | 0.0001 |        0.9 |                20 |      1 |          72.9542 |         55.4767 |
| DEFAULT_5dea9_00051 | TERMINATED |       |             3 |  200 |               2 | 0.0001 |        0.9 |                20 |      1 |          75.6658 |         55.8824 |
| DEFAULT_5dea9_00052 | TERMINATED |       |             2 |  100 |               3 | 0.0001 |        0.9 |                20 |      1 |          76.6538 |         59.9391 |
| DEFAULT_5dea9_00053 | TERMINATED |       |             3 |  100 |               3 | 0.0001 |        0.9 |                20 |      1 |          77.9238 |         52.6369 |
| DEFAULT_5dea9_00054 | TERMINATED |       |             2 |  200 |               3 | 0.0001 |        0.9 |                20 |      1 |          77.3098 |         58.5193 |
| DEFAULT_5dea9_00055 | TERMINATED |       |             3 |  200 |               3 | 0.0001 |        0.9 |                20 |      1 |          78.0538 |         58.0122 |
| DEFAULT_5dea9_00056 | TERMINATED |       |             2 |  100 |               2 | 0.01   |        0.9 |                20 |      1 |          73.9457 |         50      |
| DEFAULT_5dea9_00057 | TERMINATED |       |             3 |  100 |               2 | 0.01   |        0.9 |                20 |      1 |          75.7713 |         50      |
| DEFAULT_5dea9_00058 | TERMINATED |       |             2 |  200 |               2 | 0.01   |        0.9 |                20 |      1 |          71.5483 |         50      |
| DEFAULT_5dea9_00059 | TERMINATED |       |             3 |  200 |               2 | 0.01   |        0.9 |                20 |      1 |          75.2831 |         50      |
| DEFAULT_5dea9_00060 | TERMINATED |       |             2 |  100 |               3 | 0.01   |        0.9 |                20 |      1 |          76.6932 |         50      |
| DEFAULT_5dea9_00061 | TERMINATED |       |             3 |  100 |               3 | 0.01   |        0.9 |                20 |      1 |          78.6051 |         50      |
| DEFAULT_5dea9_00062 | TERMINATED |       |             2 |  200 |               3 | 0.01   |        0.9 |                20 |      1 |          76.8169 |         54.2596 |
| DEFAULT_5dea9_00063 | TERMINATED |       |             3 |  200 |               3 | 0.01   |        0.9 |                20 |      1 |          63.3333 |         50      |
+---------------------+------------+-------+---------------+------+-----------------+--------+------------+-------------------+--------+------------------+-----------------+

